Word,***,TypeCode
A,***,
A,***,nida.;
AB,***,is.;
ABA,***,is.;
ABA,***,is.;
ABAD,***,sif;
ABADAN,***,sif;
ABADANLANMAQ,***,f.is.;
ABADANLAŞDIRILMA,***,f.is.;
ABADANLAŞDIRILMAQ,***,məch.;
ABADANLAŞDIRMA,***,f.is.;
ABADANLAŞDIRMAQ,***,icb.;
ABADANLAŞMA,***,f.;is.;
ABADANLAŞMAQ,***,f.is.;
ABADANLIQ,***,is.;
ABADLAŞDIRILMA,***,f.is.;
ABADLAŞDIRILMAQ,***,məch.;
ABADLAŞDIRMA,***,f.;is.;
ABADLAŞDIRMAQ,***,icb.;
ABADLAŞMA,***,f.is.;
ABADLAŞMAQ,***,f.;
ABADLIQ,***,is.;
ABAJUR,***,is.;
ABAJURLU,***,sif;
ABAK,***,is.;
ABALI,***,is.;
ABASBƏYİ,***,is.;
AB(B)ASI,***,xüs. is.;is.;
AB(B)ASILIQ,***,is.;
ABBASİLƏR,***,is.;
ABCO,***,is.;
ABDAL,***,əd.;is.;
ABDALLAŞMAQ,***,f.;
ABDALLIQ,***,is.;
ABDAR,***,sif;
ABDARLIQ,***,is.;
ABDƏST,***,f.;is.;
ABDƏSTXANA,***,
ABDUQ,***,is.;
ABERRASİYA,***,is.;
ABGƏRDƏN,***,is.;
ABGÜŞT,***,is.;
"AB-HAVA, ABÜ",***,is.;
AB-HAVALI,***,sif;
ABXAZ,***,is.;
ABXOR,***,is.;
ABI,***,sif;
ABIR,***,is.;
ABIR-HƏYA,***,is.;
ABIRLAMA,***,f.is.;
ABIRLAMAQ,***,f.;
ABIRLANMAQ,***,f.;
ABIRLI,***,sif;
ABIRSIZ,***,sif;
ABIRSIZLIQ,***,is.;
ABİD,***,is.;
ABİDANƏ,***,zərf;
ABİDƏ,***,is.;
ABİDLƏŞMƏ,***,f.is.;
ABİDLƏŞMƏK,***,f.;
ABİDLİK,***,is.;
ABİOGENEZ,***,is.;
ABİSİ ́N,***,is.;
ABİSSAL,***,sif;
ABİTURİYENT,***,is.;
ABQORA,***,is.;
"ABNOS, ABNUS",***,is.;
ABOLİSİONİZM,***,is.;
ABORDAJ,***,is.;
ABORİGEN,***,is.;
ABORT,***,is.;
ABORTİV,***,is.;
ABPAŞ,***,is.;
ABRAZİYA,***,is.;
ABREVİATURA,***,
ABRİZ,***,is.;
ABRU,***,is.;
ABSENTEİZM,***,is.;
ABSES,***,is.;
ABSOLYUT,***,is.;
ABSORBSİYA,***,is.;
ABSTİNENSİYA,***,is.;
ABSTRAKSİYA,***,is.;
ABSTRAKT,***,sif;
ABSTRAKTLAŞDIRILMA,***,f.is.;
ABSTRAKTLAŞDIRILMAQ,***,məch.;
ABSTRAKTLAŞDIRMA,***,f.is.;
ABSTRAKTLAŞDIRMAQ,***,f.;
ABSTRAKTLAŞMA,***,f.;is.;
ABSTRAKTLAŞMAQ,***,f.;
ABSURD,***,is.;
ABULİYA,***,is.;
ABUNƏ,***,is.;
ABUNƏÇİ,***,is.;
AC,***,(z.);sif;
AC-ACINA,***,zərf;
ACAR,***,is.;
ACDIRAN,***,f.sif.;
ACDIRMA,***,f.is.;
ACDIRMAQ,***,icb.;
ACGÖDƏN,***,sif;
ACGÖZ(LÜ),***,sif;
ACGÖZLÜK,***,(z.);is.;
ACI,***,f.;is.;sif.;zərf;
ACIBALDIRĞAN,***,is.;
ACIBİYAN,***,is.;
ACICA,***,sif;
ACIÇİÇƏK,***,is.;
ACIDİL(Lİ),***,sif;
ACIDİLLİ(Lİ)K,***,mücər.;
ACIXƏMRƏ,***,is.;
ACIİSTİOT,***,
ACIQ,***,is.;zərf;
ACIQARPIZ,***,is.;
ACIQDIRMAQ,***,f.;
ACIQICI,***,is.;
ACIQ-QICIQ,***,is.;
ACIQLANDIRMA,***,f.;is.;
ACIQLANDIRMAQ,***,icb.;
ACIQLANMA,***,f.is.;
ACIQLANMAQ,***,f.;
ACIQLI,***,sif;zərf;
ACIQLILIQ,***,is.;
ACIQMAQ,***,f.;
ACIQOVUQ,***,is.;
ACIQOVUN,***,is.;
ACILAMA,***,f.;
ACILAMAQ,***,f.;məch.;
ACILAŞDIRILMA,***,f.;is.;
ACILAŞDIRILMAQ,***,məch.;
ACILAŞDIRMA,***,f.is.;
ACILAŞDIRMAQ,***,f.;
ACILAŞMA,***,f.is.;
ACILAŞMAQ,***,f.;
ACILATMAQ,***,f.;
ACILI,***,sif;
ACILICA,***,is.;
ACILIQ,***,is.;
ACILIQOTU,***,is.;
ACIMA,***,f.is.;
ACIMA,***,f.is.;
ACIMAQ,***,f.;
ACIMAQ,***,f.;
ACIMIŞ,***,f.sif.;
"ACIMSOV, ACIMTIL, ACIMTRAQ",***,sif;
"ACIMTILLIQ, ACIMTRAQLIQ",***,is.;
ACINACAQ(LI),***,sif;
ACINDIRICI,***,sif;
ACINDIRMAQ,***,f.;
ACINMAQ,***,
ACIŞDIRICI,***,sif;
ACIŞDIRMA,***,f.is.;
ACIŞDIRMAQ,***,f.;
ACIŞMA,***,f.is.;
ACIŞMAQ,***,f.;
ACITƏHƏR,***,sif;
ACITMA,***,is.;
ACITMAQ,***,f.;
ACITMAQ,***,f.;
ACITMALI,***,sif;
ACITMALIQ,***,sif;
ACIYONCA,***,is.;
ACIYOVŞAN,***,is.;
ACİZ,***,sif;
ACİZANƏ,***,zərf;
ACİZLƏŞDİRMƏ,***,f.;is.;
ACİZLƏŞDİRMƏK,***,f.;
ACİZLƏŞMƏ,***,f.is.;
ACİZLƏŞMƏK,***,f.;
ACİZLİK,***,is.;
ACQARINA,***,zərf;
ACLIQ,***,is.;
ACMA,***,f.is.;
ACMAQ,***,f.;
AC-SUSUZ,***,zərf;
AC-YALAVAC,***,f.;is.;sif.;
AÇAR,***,is.;
AÇARÇI,***,is.;
AÇARÇILIQ,***,is.;
AÇARLI,***,sif;
AÇDIRMA,***,f.is.;
AÇDIRMAQ,***,icb.;
AÇIQ,***,(z.);f.;is.;sif.;
AÇIQ-AÇIĞINA,***,zərf;
AÇIQ-AŞKAR,***,sif;zərf;
AÇIQ-AYDIN,***,sif;zərf;
AÇIQCA,***,sif;zərf;
AÇIQCASINA,***,sif;zərf;
AÇIQDAN,***,zərf;
AÇIQDAN-AÇIĞA,***,zərf;
AÇIQFİKİRLİ,***,sif;
AÇIQFİKİRLİLİK,***,is.;
AÇIQGƏZƏN,***,sif;
AÇIQGÖZ(LÜ),***,sif;
AÇIQGÖZLÜLÜK,***,is.;
AÇIQLIQ,***,is.;
AÇIQRAQ,***,sif;
AÇIQRƏNGLİ,***,(z.);f.;is.;sif.;
AÇIQ-SAÇIQ,***,sif;zərf;
AÇIQÜRƏKLİ,***,sif;
AÇIQÜRƏKLİLİK,***,mücər.;
AÇILACAQ,***,is.;
AÇILAN,***,is.;
AÇILIŞ,***,is.;
AÇILIŞMA,***,f.is.;
AÇILIŞMAQ,***,f.;qarş.;
AÇILMA,***,f.is.;
AÇILMAQ,***,f.;
AÇILMAZ,***,sif;
AÇIM,***,is.;
AÇIŞ,***,is.;
AÇMA,***,f.;
AÇMAQ,***,f.;is.;
AÇUN,***,əd.;is.;
AD,***,is.;
ADA,***,is.;
ADAB,***,is.;
ADACIQ,***,kiç.;
ADADOVŞANI,***,is.;
ADAX,***,is.;
ADAXLAMA,***,f.is.;
ADAXLAMAQ,***,f.;
ADAXLANDIRMA,***,f.;
ADAXLANDIRMAQ,***,f.;
ADAXLANMA,***,f.;
ADAXLANMAQ,***,f.;
ADAXLI,***,f.;is.;sif.;
ADAXLIBAZLIQ,***,is.;
ADAXLILIQ,***,is.;
ADAJİO,***,is.;
ADAQ,***,is.;zərf;
ADAQ,***,is.;
ADAQLAMAQ,***,f.;
ADAQLANMAQ,***,f.;
ADAQLI,***,f.;is.;sif.;
ADAM,***,f.;is.;
ADAM-ADAMYANA,***,sif;zərf;
ADAMAĞILLI,***,sif;
ADAMALDADAN,***,f.;is.;sif.;
ADAMAOXŞAMAZ,***,sif;
ADAMAOXŞAMAZLIQ,***,is.;
ADAMAYOVUŞAN,***,sif;
ADAMAYOVUŞMAZ,***,sif;
ADAMAYOVUŞMAZLIQ,***,is.;
ADAMBAŞI(NA),***,zərf;
ADAMBOYU,***,sif;
ADAMCASINA,***,zərf;
ADAMCIĞAZ,***,
ADAMCIL,***,sif;
ADAMCILLIQ,***,is.;
ADAMDANQAÇAN,***,sif;
ADAMLI,***,sif;
ADAMLIQ,***,is.;
ADAMOYNADAN,***,f.;is.;sif.;
ADAMSATAN,***,is.;
ADAMSEVMƏZ,***,f.;is.;sif.;
ADAMSEVMƏZLİK,***,is.;
ADAMSIZ,***,sif;
ADAMSIZLIQ,***,is.;
ADAMSİT,***,xüs. is.;is.;
ADAMYANA,***,sif;zərf;
ADAMYEYƏN,***,sif;
ADAPTASİYA,***,
ADAPTER,***,
ADAŞ,***,is.;
ADAŞLIQ,***,is.;
ADAT,***,is.;
ADBAAD,***,zərf;
ADDA-BUDDA,***,sif;zərf;
ADDA-BUDDALIQ,***,is.;
ADDAMA,***,f.is.;
ADDAMAQ,***,f.;
ADDIM,***,is.;zərf;
ADDIMBAADDIM,***,zərf;
ADDIMBAŞI,***,zərf;
ADDIMLAMA,***,f.;
ADDIMLAMAQ,***,f.;
ADDIMLATMAQ,***,icb.;
ADDIMLI,***,sif;
ADDIMLIQ,***,is.;
ADDIMÖLÇƏN,***,xüs. is.;is.;
ADEKVAT,***,sif;
ADENOMA,***,is.;
ADƏ,***,
ADƏM,***,f.;is.;
ADƏT,***,is.;
ADƏTA,***,zərf;
ADƏTƏN,***,zərf;
ADƏTKƏR,***,sif;
ADƏTKƏRDƏ,***,sif;
ADƏTKƏRDƏLİK,***,is.;
ADHEZİYA,***,is.;
ADI,***,əd.;
ADIBƏDNAM,***,sif;
ADIBƏDNAMLIQ,***,is.;
ADIBİLİNMƏZ,***,sif;
ADIGEY,***,is.;
ADIGEYCƏ,***,sif;zərf;
AD(I)NA,***,is.;
ADINALIQ,***,is.;
ADIVAYQANLI,***,is.;
ADİ,***,sif;
ADİL,***,sif;
ADİLANƏ,***,zərf;
ADİLƏŞDİRİLMƏ,***,f.;is.;
ADİLƏŞDİRİLMƏK,***,məch.;
ADİLƏŞDİRMƏ,***,f.is.;
ADİLƏŞDİRMƏK,***,f.;
ADİLƏŞMƏ,***,f.is.;
ADİLƏŞMƏK,***,f.;
ADİLİK,***,is.;
ADİLLİK,***,is.;
ADİNƏ,***,
"ADQOYDU, ADQOYMA",***,is.;
ADLAMA,***,f.is.;
ADLAMAQ,***,f.;
ADLANDIRILMA,***,f.is.;
ADLANDIRILMAQ,***,məch.;
ADLANDIRMA,***,f.;
ADLANDIRMAQ,***,f.;
ADLANMA,***,f.is.;
ADLANMAQ,***,f.;
ADLANMA(N)C,***,is.;
ADLI,***,sif;
ADLIQ,***,
ADLI-SANLI,***,sif;
ADMİRAL,***,is.;
ADMİRALLIQ,***,is.;
ADRES,***,
ADRESAT,***,
AD-SAN,***,is.;
ADSIZ,***,sif;
ADSIZLIQ,***,mücər.;
ADSIZ-SANSIZ,***,sif;
ADVOKAT,***,is.;
ADVOKATLIQ,***,is.;
ADYAL,***,is.;
ADYUTANT,***,is.;
ADYUTANTLIQ,***,is.;
AERODİNAMİK,***,sif;
AERODİNAMİKA,***,
AERODROM,***,
AEROFOTOQRAFİYA,***,
AEROXİZƏK,***,is.;
AEROKLUB,***,
AEROLOGİYA,***,
AERONAVT,***,
AERONAVTİKA,***,
AEROPLAN,***,is.;
AEROPORT,***,
AEROSƏPİN,***,is.;
AEROSTAT,***,
AFAQ,***,is.;
AFAT,***,is.;
AFƏRİN,***,
AFƏT,***,is.;
AFƏTZƏDƏ,***,sif;
AFFAYI,***,zərf;
AFFEKT,***,
AFFRİKAT,***,is.;
AFİŞA,***,
AFİYƏT,***,is.;
AFORİZM,***,is.;
AFORİZMLİ,***,sif;
AFRİKALI,***,sif;
AFTAB,***,is.;
AFTABA,***,is.;
AFTAFA,***,is.;
AFTAFA-LƏYƏN,***,is.;
AGAH,***,
AGAHLIQ,***,is.;
AGENT,***,
AGENTLİK,***,is.;
AGENTURA,***,
AGƏH,***,
AĞ,***,f.;is.;sif.;
AĞLAR,***,sif;
AĞ,***,is.;
AĞ,***,is.;
AĞ,***,
AĞA,***,f.;is.;sif.;
AĞABACI,***,is.;
AĞAC,***,is.;
AĞACAN,***,is.;
AĞACATMA,***,is.;
AĞACAYAQ,***,is.;
"AĞACDEŞƏN, AĞACDƏLƏN",***,is.;
AĞACDOĞRAYAN,***,sif;
AĞACKƏPƏNƏYİ,***,is.;
AĞACQURBAĞASI,***,is.;
AĞACQURDU,***,is.;
